#options: 720x406 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=13 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5175 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:6 cpbdur:6 q:21.47 aq:15.80 tex:348935 mv:39071 misc:138 imb:1170 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:6 cpbdur:6 q:21.79 aq:16.64 tex:126660 mv:6688 misc:556 imb:98 pmb:958 smb:114 d:- ref:0 ;
in:2 out:2 type:B dur:6 cpbdur:6 q:21.79 aq:21.02 tex:16203 mv:4635 misc:1010 imb:15 pmb:453 smb:702 d:- ref:0 ;
in:1 out:3 type:b dur:4 cpbdur:4 q:21.79 aq:22.89 tex:9515 mv:2975 misc:822 imb:13 pmb:295 smb:862 d:- ref:0 ;
in:3 out:4 type:b dur:4 cpbdur:4 q:21.79 aq:23.25 tex:8610 mv:2697 misc:813 imb:12 pmb:284 smb:874 d:- ref:0 ;
in:8 out:5 type:P dur:6 cpbdur:6 q:21.23 aq:15.98 tex:155556 mv:7255 misc:373 imb:124 pmb:1010 smb:36 d:- ref:0 ;
in:6 out:6 type:B dur:6 cpbdur:6 q:21.51 aq:21.05 tex:21103 mv:5293 misc:1068 imb:22 pmb:517 smb:631 d:- ref:0 ;
in:5 out:7 type:b dur:4 cpbdur:4 q:21.65 aq:23.33 tex:9145 mv:3089 misc:854 imb:20 pmb:295 smb:855 d:- ref:0 ;
in:7 out:8 type:b dur:4 cpbdur:4 q:21.37 aq:22.75 tex:10410 mv:2996 misc:786 imb:31 pmb:278 smb:861 d:- ref:0 ;
in:12 out:9 type:P dur:6 cpbdur:6 q:20.66 aq:15.70 tex:179350 mv:7498 misc:376 imb:134 pmb:996 smb:40 d:- ref:0 ;
in:10 out:10 type:B dur:6 cpbdur:6 q:20.95 aq:19.93 tex:32899 mv:6023 misc:1086 imb:27 pmb:636 smb:507 d:- ref:0 ;
