#options: 720x406 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=13 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2517 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:23.12 aq:15.90 tex:307485 mv:41002 misc:145 imb:1170 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:23.99 aq:17.68 tex:53044 mv:3913 misc:1035 imb:23 pmb:793 smb:354 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:23.99 aq:22.40 tex:5207 mv:1755 misc:862 imb:3 pmb:239 smb:928 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:23.99 aq:22.66 tex:1369 mv:123 misc:276 imb:0 pmb:35 smb:1135 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:23.99 aq:22.64 tex:1843 mv:272 misc:341 imb:2 pmb:40 smb:1128 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:23.76 aq:17.40 tex:68897 mv:5307 misc:836 imb:43 pmb:929 smb:198 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:23.88 aq:22.05 tex:8552 mv:2847 misc:1033 imb:1 pmb:326 smb:843 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:23.93 aq:21.97 tex:5391 mv:1877 misc:1236 imb:6 pmb:503 smb:661 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:23.82 aq:24.55 tex:1921 mv:1029 misc:602 imb:3 pmb:112 smb:1055 d:- ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:23.50 aq:16.98 tex:74390 mv:5592 misc:810 imb:40 pmb:964 smb:166 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:23.63 aq:22.94 tex:1097 mv:633 misc:446 imb:0 pmb:76 smb:1094 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:23.44 aq:16.88 tex:72418 mv:6231 misc:615 imb:65 pmb:1006 smb:99 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:23.47 aq:22.15 tex:4593 mv:2502 misc:993 imb:2 pmb:275 smb:893 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:23.49 aq:20.87 tex:759 mv:480 misc:633 imb:0 pmb:133 smb:1037 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:23.45 aq:23.33 tex:1427 mv:876 misc:537 imb:0 pmb:97 smb:1073 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:26.09 aq:20.07 tex:32698 mv:5625 misc:997 imb:64 pmb:801 smb:305 d:- ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:24.76 aq:22.57 tex:4195 mv:3182 misc:1119 imb:4 pmb:388 smb:778 d:- ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:24.10 aq:23.04 tex:583 mv:703 misc:690 imb:1 pmb:146 smb:1023 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:25.43 aq:25.85 tex:1281 mv:1716 misc:723 imb:1 pmb:183 smb:986 d:- ref:0 ;
in:20 out:19 type:P dur:2 cpbdur:2 q:21.02 aq:14.66 tex:130445 mv:5629 misc:366 imb:40 pmb:1091 smb:39 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:23.55 aq:20.06 tex:1014 mv:848 misc:482 imb:0 pmb:93 smb:1077 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:19.05 aq:13.51 tex:144188 mv:6214 misc:358 imb:44 pmb:1093 smb:33 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:20.03 aq:18.96 tex:17875 mv:4495 misc:1230 imb:2 pmb:624 smb:544 d:- ref:0 ;
