#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5271 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:21.58 aq:18.14 tex:1748845 mv:165109 misc:238 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:24.39 aq:21.37 tex:498957 mv:22023 misc:1076 imb:471 pmb:2970 smb:159 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:24.39 aq:24.91 tex:135442 mv:25220 misc:2914 imb:37 pmb:2532 smb:1031 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:24.39 aq:27.51 tex:9944 mv:2393 misc:2183 imb:0 pmb:663 smb:2937 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:24.39 aq:26.06 tex:14375 mv:3233 misc:2424 imb:1 pmb:807 smb:2792 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:24.54 aq:21.38 tex:580737 mv:25330 misc:637 imb:675 pmb:2877 smb:48 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:24.46 aq:24.92 tex:176379 mv:30856 misc:2477 imb:136 pmb:2767 smb:697 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:24.43 aq:26.35 tex:90990 mv:19351 misc:3091 imb:34 pmb:1950 smb:1616 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:24.50 aq:26.18 tex:17275 mv:5096 misc:2877 imb:0 pmb:1052 smb:2548 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:24.74 aq:20.53 tex:756786 mv:29161 misc:405 imb:1079 pmb:2510 smb:11 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:24.64 aq:24.62 tex:263850 mv:33055 misc:1711 imb:177 pmb:3101 smb:322 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:24.59 aq:25.83 tex:59649 mv:17366 misc:3185 imb:47 pmb:1706 smb:1847 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:24.69 aq:25.93 tex:62849 mv:19328 misc:3183 imb:76 pmb:1635 smb:1889 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:25.12 aq:21.33 tex:462665 mv:25312 misc:863 imb:420 pmb:3065 smb:115 d:- ref:0 w:0,1,1 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:24.93 aq:25.03 tex:98152 mv:22837 misc:3187 imb:67 pmb:2148 smb:1385 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:24.83 aq:26.33 tex:9366 mv:3620 misc:2422 imb:6 pmb:783 smb:2811 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:25.02 aq:26.54 tex:78170 mv:19054 misc:3072 imb:53 pmb:1824 smb:1723 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:33.12 aq:30.40 tex:106386 mv:19230 misc:2888 imb:433 pmb:2074 smb:1093 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:29.12 aq:28.27 tex:78435 mv:22379 misc:2986 imb:129 pmb:1760 smb:1711 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:27.12 aq:28.91 tex:7245 mv:4473 misc:2786 imb:9 pmb:872 smb:2719 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:31.12 aq:32.17 tex:12471 mv:11713 misc:2432 imb:58 pmb:899 smb:2643 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:33.04 aq:29.89 tex:121655 mv:22985 misc:2280 imb:602 pmb:2345 smb:653 d:- ref:0 w:7,127,1 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:33.08 aq:32.01 tex:29672 mv:17451 misc:2989 imb:97 pmb:1430 smb:2073 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:33.10 aq:33.66 tex:10378 mv:12756 misc:2650 imb:64 pmb:952 smb:2584 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:33.06 aq:33.76 tex:363 mv:1730 misc:1859 imb:3 pmb:424 smb:3173 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:32.20 aq:29.31 tex:170258 mv:27095 misc:1631 imb:741 pmb:2497 smb:362 d:- ref:0 w:0,1,1 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:32.62 aq:32.44 tex:31553 mv:21902 misc:3001 imb:120 pmb:1511 smb:1969 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:32.83 aq:33.69 tex:20730 mv:14878 misc:2824 imb:68 pmb:1178 smb:2354 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:32.41 aq:32.09 tex:370 mv:616 misc:774 imb:0 pmb:129 smb:3471 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:30.84 aq:27.92 tex:227845 mv:30754 misc:1257 imb:761 pmb:2614 smb:225 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:31.52 aq:30.93 tex:71859 mv:27788 misc:3169 imb:153 pmb:2119 smb:1328 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:31.86 aq:32.67 tex:13801 mv:15112 misc:2791 imb:73 pmb:1070 smb:2457 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:31.18 aq:31.84 tex:24832 mv:19795 misc:3037 imb:82 pmb:1429 smb:2089 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:29.54 aq:29.71 tex:132466 mv:27694 misc:2176 imb:514 pmb:2465 smb:621 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:30.19 aq:29.67 tex:48597 mv:27708 misc:3215 imb:134 pmb:2139 smb:1327 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:30.51 aq:32.92 tex:1607 mv:3657 misc:2408 imb:2 pmb:731 smb:2867 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.86 aq:30.70 tex:54230 mv:24186 misc:3144 imb:78 pmb:1982 smb:1540 d:- ref:0 ;
in:37 out:37 type:I dur:2 cpbdur:2 q:26.76 aq:22.70 tex:457754 mv:109485 misc:249 imb:3600 pmb:0 smb:0 d:- ref:;
in:41 out:38 type:P dur:2 cpbdur:2 q:28.50 aq:25.89 tex:279767 mv:32868 misc:757 imb:1673 pmb:1837 smb:90 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:28.50 aq:28.44 tex:62284 mv:33837 misc:2863 imb:370 pmb:2210 smb:1020 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:28.50 aq:23.49 tex:128 mv:27 misc:285 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:28.50 aq:29.06 tex:77731 mv:35066 misc:2803 imb:379 pmb:2247 smb:974 d:- ref:0 ;
in:45 out:42 type:P dur:2 cpbdur:2 q:28.12 aq:25.52 tex:299104 mv:35203 misc:701 imb:1548 pmb:1993 smb:59 d:- ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:28.31 aq:26.05 tex:162508 mv:45693 misc:1727 imb:697 pmb:2483 smb:420 d:- ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:28.41 aq:24.65 tex:746 mv:887 misc:999 imb:1 pmb:199 smb:3400 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:28.21 aq:28.44 tex:67253 mv:35157 misc:2862 imb:389 pmb:2089 smb:1122 d:- ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:27.83 aq:24.06 tex:301415 mv:34903 misc:810 imb:1528 pmb:1973 smb:99 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:27.97 aq:27.96 tex:69113 mv:36071 misc:2848 imb:491 pmb:2053 smb:1056 d:- ref:0 ;
in:50 out:48 type:P dur:2 cpbdur:2 q:27.74 aq:25.23 tex:276510 mv:34721 misc:849 imb:1369 pmb:2127 smb:104 d:- ref:0 ;
in:48 out:49 type:B dur:2 cpbdur:2 q:27.80 aq:24.27 tex:1521 mv:1160 misc:1231 imb:4 pmb:259 smb:3337 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:27.77 aq:27.78 tex:73790 mv:36516 misc:2878 imb:468 pmb:2128 smb:1004 d:- ref:0 ;
in:52 out:51 type:P dur:2 cpbdur:2 q:27.33 aq:23.47 tex:350197 mv:35907 misc:696 imb:1478 pmb:2059 smb:63 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:27.54 aq:27.40 tex:79618 mv:37136 misc:2758 imb:451 pmb:2122 smb:1027 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:28.06 aq:25.40 tex:274772 mv:34801 misc:803 imb:1723 pmb:1782 smb:95 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:27.70 aq:27.03 tex:102212 mv:39273 misc:2563 imb:498 pmb:2368 smb:734 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:27.51 aq:26.76 tex:816 mv:526 misc:746 imb:2 pmb:119 smb:3479 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:27.88 aq:28.02 tex:93882 mv:36947 misc:2643 imb:445 pmb:2185 smb:970 d:- ref:0 ;
in:58 out:57 type:P dur:2 cpbdur:2 q:27.75 aq:24.66 tex:245478 mv:32759 misc:1051 imb:1344 pmb:2100 smb:156 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:27.91 aq:25.82 tex:1252 mv:488 misc:860 imb:5 pmb:121 smb:3474 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:27.66 aq:24.66 tex:202216 mv:31226 misc:1502 imb:1025 pmb:2236 smb:339 d:- ref:0 ;
in:62 out:60 type:P dur:2 cpbdur:2 q:27.65 aq:23.70 tex:348287 mv:35652 misc:485 imb:1834 pmb:1737 smb:29 d:- ref:0 ;
in:60 out:61 type:B dur:2 cpbdur:2 q:27.66 aq:26.69 tex:134260 mv:43995 misc:2201 imb:740 pmb:2278 smb:582 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:27.65 aq:27.28 tex:87642 mv:40371 misc:2531 imb:649 pmb:2243 smb:708 d:- ref:0 ;
in:65 out:63 type:P dur:2 cpbdur:2 q:28.00 aq:25.08 tex:262479 mv:34233 misc:752 imb:1579 pmb:1932 smb:89 d:- ref:0 ;
in:63 out:64 type:B dur:2 cpbdur:2 q:27.77 aq:26.26 tex:913 mv:263 misc:640 imb:5 pmb:61 smb:3534 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:27.88 aq:27.57 tex:75909 mv:37380 misc:2711 imb:655 pmb:2014 smb:931 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:27.94 aq:24.13 tex:191136 mv:31403 misc:1357 imb:1191 pmb:2150 smb:259 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:27.92 aq:24.99 tex:291760 mv:33706 misc:638 imb:1779 pmb:1760 smb:61 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:27.93 aq:24.69 tex:159157 mv:45234 misc:1889 imb:923 pmb:2255 smb:422 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:27.94 aq:24.19 tex:557 mv:389 misc:710 imb:1 pmb:109 smb:3490 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:27.93 aq:27.24 tex:66653 mv:34297 misc:2874 imb:523 pmb:1962 smb:1115 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:27.80 aq:23.88 tex:308956 mv:34855 misc:773 imb:1660 pmb:1870 smb:70 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:27.86 aq:27.61 tex:81499 mv:37857 misc:2740 imb:546 pmb:2072 smb:982 d:- ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:27.77 aq:24.87 tex:192049 mv:30987 misc:1588 imb:1137 pmb:2121 smb:342 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:27.78 aq:26.00 tex:628 mv:427 misc:665 imb:1 pmb:88 smb:3511 d:- ref:0 ;
in:77 out:75 type:P dur:2 cpbdur:2 q:27.97 aq:23.93 tex:337468 mv:34300 misc:576 imb:1911 pmb:1648 smb:41 d:- ref:0 ;
in:75 out:76 type:B dur:2 cpbdur:2 q:27.83 aq:26.24 tex:113083 mv:39637 misc:2296 imb:833 pmb:2109 smb:658 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:27.90 aq:27.00 tex:61030 mv:33435 misc:2959 imb:582 pmb:1915 smb:1103 d:- ref:0 ;
in:80 out:78 type:P dur:2 cpbdur:2 q:28.10 aq:25.62 tex:227321 mv:33127 misc:1288 imb:1340 pmb:2025 smb:235 d:- ref:0 ;
in:78 out:79 type:B dur:2 cpbdur:2 q:28.01 aq:24.76 tex:551 mv:179 misc:534 imb:3 pmb:56 smb:3541 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:28.06 aq:27.85 tex:74904 mv:32546 misc:2862 imb:439 pmb:1973 smb:1188 d:- ref:0 ;
in:82 out:81 type:P dur:2 cpbdur:2 q:27.90 aq:24.08 tex:264244 mv:32788 misc:968 imb:1656 pmb:1817 smb:127 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:28.00 aq:27.61 tex:74707 mv:36023 misc:2822 imb:562 pmb:2054 smb:984 d:- ref:0 ;
in:86 out:83 type:P dur:2 cpbdur:2 q:28.12 aq:27.55 tex:178152 mv:30857 misc:1439 imb:1782 pmb:1440 smb:378 d:- ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:28.01 aq:26.84 tex:75163 mv:33413 misc:2840 imb:539 pmb:2101 smb:960 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:27.96 aq:25.57 tex:299 mv:429 misc:624 imb:1 pmb:87 smb:3512 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:28.07 aq:27.62 tex:78379 mv:34134 misc:2607 imb:536 pmb:2064 smb:1000 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:27.85 aq:27.22 tex:432650 mv:29301 misc:377 imb:3115 pmb:485 smb:0 d:- ref:0 ;
in:88 out:88 type:I dur:2 cpbdur:2 q:25.13 aq:22.94 tex:606863 mv:125989 misc:212 imb:3600 pmb:0 smb:0 d:- ref:;
in:91 out:89 type:P dur:2 cpbdur:2 q:28.14 aq:26.24 tex:315866 mv:36662 misc:824 imb:1100 pmb:2420 smb:80 d:- ref:0 ;
in:89 out:90 type:B dur:2 cpbdur:2 q:28.14 aq:29.50 tex:39658 mv:25511 misc:3279 imb:96 pmb:2086 smb:1418 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:28.14 aq:28.57 tex:938 mv:198 misc:568 imb:0 pmb:61 smb:3539 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:28.24 aq:26.86 tex:161298 mv:28843 misc:1931 imb:449 pmb:2692 smb:459 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:28.30 aq:27.10 tex:184174 mv:32050 misc:1600 imb:639 pmb:2643 smb:318 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:28.18 aq:26.22 tex:261050 mv:34858 misc:1100 imb:1058 pmb:2372 smb:170 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:28.20 aq:25.81 tex:278426 mv:36719 misc:799 imb:1190 pmb:2321 smb:89 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:28.19 aq:26.15 tex:985 mv:202 misc:701 imb:2 pmb:81 smb:3517 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:28.26 aq:26.10 tex:174343 mv:32006 misc:1619 imb:647 pmb:2600 smb:353 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:28.29 aq:26.19 tex:254278 mv:36566 misc:1044 imb:869 pmb:2582 smb:149 d:- ref:0 ;
in:100 out:99 type:P dur:2 cpbdur:2 q:28.32 aq:24.37 tex:376128 mv:40133 misc:603 imb:1191 pmb:2371 smb:38 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:28.31 aq:28.96 tex:95367 mv:45559 misc:2314 imb:351 pmb:2611 smb:638 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:28.28 aq:24.98 tex:323915 mv:37224 misc:765 imb:1230 pmb:2247 smb:123 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:28.30 aq:28.00 tex:88511 mv:38389 misc:2652 imb:297 pmb:2497 smb:806 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:28.31 aq:25.31 tex:396 mv:460 misc:752 imb:0 pmb:127 smb:3473 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:28.29 aq:28.80 tex:88132 mv:37551 misc:2701 imb:378 pmb:2329 smb:893 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:28.65 aq:24.51 tex:263094 mv:32945 misc:1129 imb:759 pmb:2640 smb:201 d:- ref:0 ;
in:108 out:106 type:P dur:2 cpbdur:2 q:28.56 aq:25.55 tex:260378 mv:32342 misc:1128 imb:1029 pmb:2363 smb:208 d:- ref:0 ;
in:106 out:107 type:B dur:2 cpbdur:2 q:28.62 aq:22.91 tex:934 mv:2092 misc:1614 imb:11 pmb:381 smb:3208 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:28.59 aq:28.95 tex:45238 mv:30559 misc:3139 imb:227 pmb:1984 smb:1389 d:- ref:0 ;
in:111 out:109 type:P dur:2 cpbdur:2 q:28.62 aq:25.43 tex:279766 mv:34421 misc:1093 imb:1096 pmb:2337 smb:167 d:- ref:0 ;
in:109 out:110 type:B dur:2 cpbdur:2 q:28.58 aq:29.29 tex:70530 mv:38232 misc:2798 imb:365 pmb:2240 smb:995 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:28.60 aq:26.96 tex:593 mv:117 misc:482 imb:2 pmb:40 smb:3558 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:28.58 aq:25.40 tex:179095 mv:28419 misc:1766 imb:703 pmb:2530 smb:367 d:- ref:0 ;
in:114 out:113 type:P dur:2 cpbdur:2 q:28.66 aq:25.60 tex:248698 mv:33241 misc:1093 imb:1024 pmb:2404 smb:172 d:- ref:0 ;
